TaxonName,TaxonCode
Eunotia serra,Eunse03
Eunotia silvahercynia,Eunsi01
Eunotia soleri,Eunso01
Eunotia steineckei,Eunst01
Eunotia subantarctica,Eunsu01
Eunotia subarcuatoides,Eunsu02
Eunotia subrobusta,Eunsu03
Eunotia sudetica,Eunsu04
Eunotia tapacumopsis,Eunta01
Eunotia tenella,Eunte01
Eunotia tetraodon,Eunte02
Eunotia thumii,Eunth01
Eunotia tridentula,Euntr01
Eunotia trinacria,Euntr02
Eunotia ursamaioris,Eunur01
Eunotia valida,Eunva01
Eunotia varioundulata,Eunva02
Eunotia yberai,Eunyb01
Eunotioforma genuflexa,Eunge02
Eunotogramma laevis,Eunla02
Exilaria pulchella,Exipu01
Exilaria vaucheriae,Exiva01
Fallacia clepsidroides,Falcl01
Fallacia crassicostata,Falcr01
Fallacia omissa,Falom01
Fallacia pygmaea,Falpy01
Fragilaria acidoclinata,Fraac01
Fragilaria acus,Fraac02
Fragilaria acuta,Fraac03
Fragilaria aequalis,Fraae01
Fragilaria alpestris,Fraal01
Fragilaria amphicephala,Fraam01
Fragilaria amphicephaloides,Fraam02
Fragilaria anceps,Fraan01
Fragilaria aquaplus,Fraaq01
Fragilaria atomus,Fraat01
Fragilaria austriaca,Fraau01
Fragilaria bicapitata,Frabi01
Fragilaria biceps,Frabi02
Fragilaria bidens,Frabi03
Fragilaria binodis,Frabi04
Fragilaria bipunctata,Frabi05
Fragilaria boreomongolica,Frabo01
Fragilaria brevistriata,Frabr01
Fragilaria canariensis,Fraca01
Fragilaria candidagilae,Fraca02
Fragilaria capitellata,Fraca03
Fragilaria capucina,Fraca04
Fragilaria cassubica,Fraca05
Fragilaria construens,Fraco01
Fragilaria crotonensis,Fracr01
Fragilaria deformis,Frade01
Fragilaria delicatissima,Frade02
Fragilaria distans,Fradi01
Fragilaria elliptica,Frael01
Fragilaria exiguiformis,Fraex01
Fragilaria fonticola,Frafo01
Fragilaria fragilarioides,Frafr01
Fragilaria geocollegarum,Frage01
Fragilaria gessneri,Frage02
Fragilaria gracilis,Fragr01
Fragilaria grunowii,Fragr02
Fragilaria harrisonii,Fraha01
Fragilaria henryi,Frahe01
Fragilaria incognita,Frain01
Fragilaria inflata,Frain02
Fragilaria karstenii,Fraka01
Fragilaria laevissima,Frala01
Fragilaria lancettula,Frala02
Fragilaria lapponica,Frala03
Fragilaria leptostauron,Frale01
Fragilaria longifusiformis,Fralo01
Fragilaria mesodon,Frame01
Fragilaria mesolepta,Frame02
Fragilaria microcephala,Frami01
Fragilaria microstriata,Frami02
Fragilaria microvaucheriae,Frami03
Fragilaria miniscula,Frami04
Fragilaria mutabilis,Framu01
Fragilaria nanana,Frana01
Fragilaria nanoides,Frana02
Fragilaria neoelliptica,Frane01
Fragilaria neointermedia,Frane02
Fragilaria neoproducta,Frane03
Fragilaria nevadensis,Frane04
Fragilaria oldenburgiana,Fraol01
Fragilaria ostenfeldii,Fraos01
Fragilaria pararumpens,Frapa01
Fragilaria parasitica,Frapa02
Fragilaria parva,Frapa03
Fragilaria pectinalis,Frape01
Fragilaria pennsylvanica,Frape02
Fragilaria perdelicatissima,Frape03
Fragilaria perminuta,Frape04
Fragilaria pinnata,Frapi01
Fragilaria polonica,Frapo01
Fragilaria pseudoconstruens,Fraps01
Fragilaria pulchella,Frapu01
Fragilaria radians,Frara01
Fragilaria recapitellata,Frare01
Fragilaria rinoi,Frari01
Fragilaria robusta,Fraro01
Fragilaria rumpens,Fraru01
Fragilaria sandellii,Frasa01
Fragilaria saxoplanctonica,Frasa02
Fragilaria subconstricta,Frasu01
Fragilaria sublineata,Frasu02
Fragilaria tenera,Frate01
Fragilaria tenuissima,Frate02
Fragilaria tenuistriata,Frate03
Fragilaria uliginosa,Fraul01
Fragilaria ulna,Fraul02
Fragilaria ungeriana,Fraun01
Fragilaria venter,Frave01
Fragilaria virescens,Fravi01
Fragilariforma constricta,Fraco02
Fragilariforma nitzschioides,Frani01
Fragilariforma virescens,Fravi02
Fragilariopsis pseudonana,Fraps02
Fragilariopsis truncata,Fratr01
Frankophila similioides,Frasi01
Frustulia adnata,Fruad01
Frustulia amosseana,Fruam01
Frustulia appendiculata,Fruap01
Frustulia australis,Fruau01
Frustulia copulata,Fruco01
Frustulia crassiundosa,Frucr01
Frustulia cuspidata,Frucu01
Frustulia dispersata,Frudi01
Frustulia erifuga,Fruer01
Frustulia krammeri,Frukr01
Frustulia linkei,Fruli01
Frustulia marginata,Fruma01
Frustulia neocaledonica,Frune01
Frustulia neomundana,Frune02
Frustulia pararhomboides,Frupa01
Frustulia pumilio,Frupu01
Frustulia quadrisinuata,Fruqu01
Frustulia regula,Frure01
Frustulia rhomboides,Frurh01
Frustulia saxonica,Frusa01
Frustulia serians,Fruse01
Frustulia spicula,Frusp01
Frustulia vermicularis,Fruve01
Frustulia vitrea,Fruvi01
Frustulia vulgaris,Fruvu01
Frustulia weinholdii,Fruwe01
Geissleria acceptata,Geiac01
Geissleria gereckei,Geige01
Geissleria hinziae,Geihi01
Geissleria tagensis,Geita01
Germainiella enigmatica,Geren01
Gloeonema triangulum,Glotr01
Gomphoneis calcifuga,Gomca01
Gomphoneis eriense,Gomer01
Gomphoneis eriensis,Gomer02
Gomphoneis inconspicua,Gomin01
Gomphoneis minuta,Gommi01
Gomphoneis oblonga,Gomob01
Gomphoneis ohridana,Gomoh01
Gomphoneis olivaceolacua,Gomol01
Gomphoneis transsylvanica,Gomtr01
Gomphoneis variostigmata,Gomva01
Gomphonella olivacea,Gomol02
